iter	RMSE
0	3887.071985
1	3789.115173
2	3694.191986
3	3602.1243
4	3513.47379
5	3427.167016
6	3344.291842
7	3264.689568
8	3187.28135
9	3112.806027
10	3040.697661
11	2970.441525
12	2903.344783
13	2838.895496
14	2776.259552
15	2715.968335
16	2658.32252
17	2603.291626
18	2549.93179
19	2497.900129
20	2448.527191
21	2400.702054
22	2348.812782
23	2299.364201
24	2249.438642
25	2201.728493
26	2155.310651
27	2110.397262
28	2067.4788
29	2024.654892
30	1984.298669
31	1945.075157
32	1907.441072
33	1866.66562
34	1826.934259
35	1789.024844
36	1752.337471
37	1716.957981
38	1681.966782
39	1648.957586
40	1618.087775
41	1589.359817
42	1559.525192
43	1530.879204
44	1504.055035
45	1476.836074
46	1451.214645
47	1426.53303
48	1402.113164
49	1377.344475
50	1355.696933
51	1334.364659
52	1314.610281
53	1295.110165
54	1275.74791
55	1256.570997
56	1237.960007
57	1219.83301
58	1200.858327
59	1183.007362
60	1165.817237
61	1149.506528
62	1133.335529
63	1117.662168
64	1102.703607
65	1088.351196
66	1074.634723
67	1061.494042
68	1049.083504
69	1036.646342
70	1024.826131
71	1013.277321
72	1001.478269
73	990.2582692
74	979.2663001
75	969.2313429
76	959.4066854
77	949.3727819
78	939.6931641
79	931.1219717
80	921.8985392
81	913.2466745
82	905.3941875
83	897.3659984
84	890.1576728
85	883.1316632
86	876.3616752
87	868.9674674
88	861.2948296
89	853.6708382
90	846.4669003
91	839.3647208
92	832.513455
93	826.5201632
94	820.3374709
95	814.4157313
96	808.5347869
97	803.0645661
98	797.8157894
99	792.4083105
100	787.7283348
101	782.9500514
102	778.4680885
103	774.0911603
104	769.9243653
105	766.0098338
106	762.0582471
107	758.5132382
108	754.6288364
109	751.1586622
110	747.7871073
111	744.1252598
112	741.0207137
113	738.0834468
114	734.4394166
115	731.0922145
116	728.3452898
117	725.4854947
118	722.0502621
119	719.2193678
120	716.1531178
121	713.7996569
122	710.8230537
123	708.456253
124	705.9512018
125	703.8656108
126	701.6617567
127	699.0267735
128	696.821355
129	694.6402833
130	692.521628
131	690.4255422
132	688.4554499
133	686.4686766
134	684.1162116
135	681.8580229
136	680.1013089
137	678.0209086
