iter	Passed	Remaining
0	69	69134
1	79	39548
2	89	29587
3	97	24218
4	106	21276
5	115	19146
6	123	17526
7	131	16279
8	139	15309
9	146	14462
10	154	13859
11	161	13315
12	169	12873
13	177	12472
14	183	12062
15	190	11701
16	197	11440
17	205	11189
18	212	10959
19	219	10776
20	227	10598
21	234	10444
22	243	10323
23	249	10157
24	256	10008
25	263	9869
26	269	9709
27	275	9548
28	280	9406
29	287	9283
30	293	9159
31	297	9012
32	303	8901
33	309	8794
34	315	8685
35	321	8614
36	326	8508
37	333	8430
38	339	8359
39	344	8266
40	351	8215
41	357	8156
42	363	8093
43	372	8082
44	378	8029
45	384	7980
46	390	7925
47	396	7872
48	402	7821
49	408	7761
50	414	7713
51	421	7678
52	428	7659
53	434	7615
54	441	7582
55	448	7555
56	454	7512
57	459	7457
58	465	7418
59	470	7374
60	475	7323
61	481	7284
62	486	7231
63	491	7180
64	496	7145
65	502	7107
66	506	7058
67	511	7016
68	517	6977
69	522	6945
70	527	6902
71	532	6865
72	537	6826
73	543	6799
74	548	6767
75	553	6723
76	558	6696
77	563	6663
78	568	6627
79	574	6601
80	579	6577
81	584	6539
82	590	6521
83	596	6500
84	601	6477
85	607	6456
86	612	6428
87	617	6404
88	622	6374
89	627	6344
90	633	6328
91	638	6303
92	644	6285
93	649	6261
94	653	6229
95	659	6214
96	664	6190
97	670	6173
98	676	6157
99	682	6138
100	686	6113
101	692	6100
102	698	6085
103	704	6069
104	710	6055
105	716	6046
106	721	6022
107	727	6011
108	733	5995
109	739	5983
110	745	5972
111	751	5958
112	758	5950
113	763	5933
114	769	5922
115	775	5913
116	782	5906
117	788	5891
118	793	5871
119	800	5866
120	805	5850
121	810	5836
122	819	5839
123	825	5830
124	830	5816
125	837	5808
126	842	5789
127	848	5780
128	856	5780
129	862	5770
130	869	5767
131	875	5755
132	880	5742
133	887	5734
134	892	5719
135	898	5705
136	903	5688
137	908	5672
138	913	5658
139	919	5645
140	924	5631
141	931	5625
142	936	5610
143	943	5608
144	950	5601
145	956	5594
146	966	5608
147	973	5603
148	984	5621
149	993	5632
150	1000	5622
151	1005	5610
